position	amplitude
6.6	-6.8
6.9	-5.8
7.2	-7.6
7.5	-10.2
7.8	-11.4
7.9	-11.6
8.1	-10.4
8.4	-8.2
8.7	-6
8.8	-5.8
9	-6.6
9.3	-8.8
9.6	-11
9.8	-11.6
9.9	-11.4
10.2	-9.4
10.5	-7
10.8	-5.8
11.1	-7.2
11.4	-9.8
11.7	-11.4
11.8	-11.6
12	-10.8
12.3	-8.4
12.6	-6.2
12.75	-5.6
12.9	-6
13.2	-8.4
13.5	-10.8
13.6	-11.4
13.8	-11.2
