Description	
Number of Runs	22
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	670
Step Voltage	25
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	670	0	60	03/03/22 03:27:07 PM	
2	695	0	60	03/03/22 03:28:07 PM	
3	720	6141	60	03/03/22 03:29:07 PM	
4	745	7223	60	03/03/22 03:30:07 PM	
5	770	7804	60	03/03/22 03:31:07 PM	
6	795	8019	60	03/03/22 03:32:07 PM	
7	820	8356	60	03/03/22 03:33:08 PM	
8	845	8427	60	03/03/22 03:34:08 PM	
9	870	8564	60	03/03/22 03:35:08 PM	
10	895	8637	60	03/03/22 03:36:08 PM	
11	920	9114	60	03/03/22 03:37:08 PM	
12	945	9153	60	03/03/22 03:38:08 PM	
13	970	9395	60	03/03/22 03:39:08 PM	
14	995	9426	60	03/03/22 03:40:08 PM	
15	1020	9492	60	03/03/22 03:41:09 PM	
16	1045	9905	60	03/03/22 03:42:09 PM	
17	1070	9884	60	03/03/22 03:43:09 PM	
18	1095	10086	60	03/03/22 03:44:09 PM	
19	1120	10455	60	03/03/22 03:45:09 PM	
20	1145	10211	60	03/03/22 03:46:09 PM	
21	1170	10371	60	03/03/22 03:47:09 PM	
22	1195	10563	60	03/03/22 03:48:10 PM	
