Description	
Number of Runs	47
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	70	10	03/03/22 02:46:50 PM	
2	950	70	10	03/03/22 02:47:03 PM	
3	950	46	10	03/03/22 02:47:20 PM	
4	950	58	10	03/03/22 02:47:43 PM	
5	950	54	10	03/03/22 02:47:54 PM	
6	950	58	10	03/03/22 02:48:04 PM	
7	950	48	10	03/03/22 02:48:14 PM	
8	950	56	10	03/03/22 02:48:24 PM	
9	950	63	10	03/03/22 02:48:34 PM	
10	950	58	10	03/03/22 02:48:44 PM	
11	950	72	10	03/03/22 02:48:54 PM	
12	950	55	10	03/03/22 02:49:05 PM	
13	950	75	10	03/03/22 02:49:15 PM	
14	950	57	10	03/03/22 02:49:25 PM	
15	950	69	10	03/03/22 02:49:35 PM	
16	950	56	10	03/03/22 02:49:45 PM	
17	950	56	10	03/03/22 02:49:55 PM	
18	950	62	10	03/03/22 02:50:05 PM	
19	950	67	10	03/03/22 02:50:15 PM	
20	950	56	10	03/03/22 02:50:26 PM	
21	950	57	10	03/03/22 02:50:36 PM	
22	950	69	10	03/03/22 02:50:46 PM	
23	950	53	10	03/03/22 02:50:56 PM	
24	950	58	10	03/03/22 02:51:06 PM	
25	950	63	10	03/03/22 02:51:16 PM	
26	950	67	10	03/03/22 02:51:26 PM	
27	950	62	10	03/03/22 02:51:37 PM	
28	950	68	10	03/03/22 02:51:47 PM	
29	950	61	10	03/03/22 02:51:57 PM	
30	950	65	10	03/03/22 02:52:07 PM	
31	950	71	10	03/03/22 02:52:17 PM	
32	950	47	10	03/03/22 02:52:27 PM	
33	950	56	10	03/03/22 02:52:38 PM	
34	950	72	10	03/03/22 02:52:48 PM	
35	950	69	10	03/03/22 02:52:58 PM	
36	950	54	10	03/03/22 02:53:08 PM	
37	950	62	10	03/03/22 02:53:18 PM	
38	950	74	10	03/03/22 02:53:28 PM	
39	950	51	10	03/03/22 02:53:38 PM	
40	950	55	10	03/03/22 02:53:49 PM	
41	950	69	10	03/03/22 02:53:59 PM	
42	950	64	10	03/03/22 02:54:09 PM	
43	950	55	10	03/03/22 02:54:19 PM	
44	950	73	10	03/03/22 02:54:29 PM	
45	950	58	10	03/03/22 02:54:39 PM	
46	950	78	10	03/03/22 02:54:49 PM	
47	950	57	10	03/03/22 02:55:00 PM	
48	950	67	10	03/03/22 02:55:10 PM	
49	950	62	10	03/03/22 02:55:20 PM	
50	950	76	10	03/03/22 02:55:30 PM	
