Description	
Number of Runs	50
Preset Time	20
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	2171	20	04/07/22 04:42:59 PM	
2	950	2125	20	04/07/22 04:43:19 PM	
3	950	2174	20	04/07/22 04:43:39 PM	
4	950	2124	20	04/07/22 04:43:59 PM	
5	950	2135	20	04/07/22 04:44:20 PM	
6	950	2060	20	04/07/22 04:44:40 PM	
7	950	2136	20	04/07/22 04:45:00 PM	
8	950	2179	20	04/07/22 04:45:20 PM	
9	950	2083	20	04/07/22 04:45:40 PM	
10	950	2108	20	04/07/22 04:46:00 PM	
11	950	2126	20	04/07/22 04:46:20 PM	
12	950	2178	20	04/07/22 04:46:41 PM	
13	950	2201	20	04/07/22 04:47:01 PM	
14	950	2086	20	04/07/22 04:47:21 PM	
15	950	2202	20	04/07/22 04:47:41 PM	
16	950	2243	20	04/07/22 04:48:01 PM	
17	950	2238	20	04/07/22 04:48:21 PM	
18	950	2150	20	04/07/22 04:48:41 PM	
19	950	2120	20	04/07/22 04:49:02 PM	
20	950	2261	20	04/07/22 04:49:22 PM	
21	950	2210	20	04/07/22 04:49:42 PM	
22	950	2136	20	04/07/22 04:50:02 PM	
23	950	2183	20	04/07/22 04:50:22 PM	
24	950	2224	20	04/07/22 04:50:42 PM	
25	950	2177	20	04/07/22 04:51:03 PM	
26	950	2186	20	04/07/22 04:51:23 PM	
27	950	2236	20	04/07/22 04:51:43 PM	
28	950	2153	20	04/07/22 04:52:03 PM	
29	950	2129	20	04/07/22 04:52:23 PM	
30	950	2107	20	04/07/22 04:52:43 PM	
31	950	2204	20	04/07/22 04:53:03 PM	
32	950	2196	20	04/07/22 04:53:23 PM	
33	950	2151	20	04/07/22 04:53:44 PM	
34	950	2138	20	04/07/22 04:54:04 PM	
35	950	2102	20	04/07/22 04:54:24 PM	
36	950	2154	20	04/07/22 04:54:44 PM	
37	950	2123	20	04/07/22 04:55:04 PM	
38	950	2106	20	04/07/22 04:55:24 PM	
39	950	2173	20	04/07/22 04:55:44 PM	
40	950	2077	20	04/07/22 04:56:05 PM	
41	950	2182	20	04/07/22 04:56:25 PM	
42	950	2130	20	04/07/22 04:56:45 PM	
43	950	2068	20	04/07/22 04:57:05 PM	
44	950	2179	20	04/07/22 04:57:25 PM	
45	950	2175	20	04/07/22 04:57:45 PM	
46	950	2162	20	04/07/22 04:58:05 PM	
47	950	2192	20	04/07/22 04:58:26 PM	
48	950	2168	20	04/07/22 04:58:46 PM	
49	950	2223	20	04/07/22 04:59:06 PM	
50	950	2182	20	04/07/22 04:59:26 PM	
